id,Dialouge
1,[पृथ्वी सरकार मुख्यालय]
2,[सरकारी अधिकारी और सैन्य नेता]
3,[कर्निवल मास्टर का आगमन...]
4,"ओलिविया: ""हमारा विनाश करने नहीं आया है। यह एक ब्रह्मांडीय टूर्नामेंट है?"""
5,"मेगन: ""बहुत बढ़िया। मेरा अनुमान है कि इसमें कोई वार्म-अप राउंड नहीं होगा।"""
6,[सरकारी नेता घूरते हुए]
7,"कर्निवल मास्टर: ""नमस्ते, पृथ्वी के निवासियों। आपको आकाशगंगा कर्निवल में भाग लेने के लिए चुना गया है..."""
8,"[जनरल हुआ, एक कठोर सैन्य नेता]"
9,"मेगन: ""ब्रह्मांडीय ओलंपिक्स। मजेदार लग रहा है... जब तक ऐसा न हो।"""
10,"कर्निवल मास्टर: ""...अच्छे से प्रतिस्पर्धा करो, नहीं तो तुम्हारा ग्रह विजेताओं को समर्पित कर दिया जाएगा।"""
11,[कर्निवल मास्टर का चेहरा जब वह अंतिम शब्द बोलता है...]
12,"ओलिविया: ""यह सिर्फ खेल नहीं है।"""
13,"[समूह में भ्रम और चिंता, कुछ लोग अपने टैबलेट चेक कर रहे हैं और फुसफुसा रहे हैं]"
14,"मेगन (बुदबुदाते हुए): ""यह उससे बहुत आगे है जिसके लिए मैंने साइन अप किया था।"""
15,"[स्टैटिक की आवाज़, जिससे पता चलता है कि एलियन जहाज पृथ्वी को घेर रहे हैं।]"
16,"मेगन: ""अब क्या? बस इसे झेलो?"""
17,"ओलिविया: ""हमें समझने की ज़रूरत है कि हम किससे निपट रहे हैं।"""
18,"कर्निवल मास्टर: ""अपने आपको तैयार करो ब्रह्मांड के सबसे महान खेलों के लिए।"""
19,"जनरल हुआ: ""हमें मान लेना चाहिए कि यह सिर्फ एक खेल नहीं है... यह एक परीक्षा है। और हम असफल नहीं हो सकते।"""
20,"मेगन: ""शानदार। अंतरिक्षीय खेल प्रतियोगिता, और हम नौसिखिए हैं।"""
21,"ओलिविया: ""हमें अपने सबसे तेज़ दिमागों को एकत्र करना होगा। यह जितना विज्ञान का मामला है उतना ही अस्तित्व का भी है।"""
22,[तनाव और एकता—हर कोई स्थिति की गंभीरता समझता है]
23,[माहौल तनावपूर्ण लेकिन ऊर्जावान है]
24,"मेगन (सांस छोड़ते हुए): ""यह या तो अविश्वसनीय होगा... या एक आपदा।""
ओलिविया (शांत स्वर में): ""जब तक हम इसे खुद नहीं देख लेते, हम नहीं जान सकते।"""
25,"कैप्टन लियू: ""ध्यान केंद्रित करो। हमें नहीं पता कि क्या आ रहा है, लेकिन हम पृथ्वी के सर्वश्रेष्ठ हैं।"""
26,[एक एलियन ट्रिसोलरान जहाज उतरता है]
27,[हवा की आवाज़ तेज हो जाती है जब दोनों टीमें तनावपूर्ण चुप्पी में एक-दूसरे का सामना करती हैं।]
28,"कैप्टन ट्रिसा: ""मैं यहां हूं यह सुनिश्चित करने के लिए कि मेरी टीम जीते। मेरे रास्ते में मत आना।"""
29,"मेगन (मुस्कुराते हुए): ""हम काटते नहीं हैं... जब तक तुम शुरू नहीं करते।"""
30,"ओलिविया (धीरे से, मेगन के हाथ पर हाथ रखते हुए): ""पहले दिन दुश्मन मत बनाओ।"""
31,"[चुप्पी लंबी खिंचती है जब दोनों कैप्टन एक लंबी, तीव्र नजरों का आदान-प्रदान करते हैं।]"
32,[दस्तानों की आवाज़ जब कैप्टन ट्रिसा अनिच्छा से कैप्टन लियू से हाथ मिलाती हैं।]
33,[मेगन और ट्रिसा की आँखें मिलती हैं।]
34,"[हवा तेज होती है जब दोनों टीमें एक बड़े घेरे में खड़ी होती हैं, अभी भी अलग लेकिन एक साथ अखाड़े में।]"
35,"ओलिविया (साँस फूली हुई): ""क्या मैंने हाथ मिलाना मिस कर दिया? कृपया बताओ कि मैंने इसे मिस नहीं किया।"""
36,"मेगन (मुस्कुराते हुए): ""तुमने हाथ मिलाना मिस कर दिया, लेकिन चिंता मत करो, यह उतना ही गर्म था जितना कि एक ध्रुवीय बवंडर।"""
37,[धीमी गड़गड़ाहट की आवाज़ जब कर्निवल प्रतिनिधि को लेकर आने वाला फ्लोटिंग पॉड समूह के पास आता है।]
38,"कर्निवल प्रतिनिधि: ""स्वागत है, प्रतियोगियों! आपको महान आकाशगंगा कर्निवल में अपने ग्रहों का प्रतिनिधित्व करने के लिए चुना गया है। आने वाली परीक्षाओं के लिए तैयार हो जाओ।"""
39,"[कैप्टन लियू सिर हिलाते हैं, ओलिविया तटस्थ रहती है, मेगन मुस्कुराती है।]"
40,"[ट्रिसोलरान ठंडे और गणनात्मक रूप से खड़े होते हैं, इस घटना को जीवन-मृत्यु का खेल समझते हुए।]"
41,"ओलिविया (बुदबुदाते हुए, अपने टैबलेट से खेलते हुए): ""हम यहाँ पूरी तरह से बाहर हैं..."""
42,"कर्निवल प्रतिनिधि: ""आपकी पहली चुनौती कल से शुरू होती है। एक-दूसरे को जानें... यह आपकी जान बचा सकता है।"""
43,[प्रतिनिधि का पॉड चुपचाप दूर जाता है]
44,"[पृथ्वी और ट्रिसोलरान टीमें स्पेस सूट में एक फ्लोटिंग प्लेटफ़ॉर्म पर आती हैं, शून्य गुरुत्वाकर्षण वातावरण में स्पष्ट रूप से असहज। प्लेटफ़ॉर्म उनके वजन के नीचे चरमराता है, धातु की आवाजें गूंजती हैं।]"
45,"मेगन (आश्चर्यचकित, थोड़ा तैरते हुए): ""यह एक अंतरिक्षीय बाउंसी कैसल की तरह महसूस हो रहा है, दौड़ से ज़्यादा।"""
46,"ओलिविया (शांति से, अपना सूट ठीक करते हुए): ""ध्यान केंद्रित करो। यह सिर्फ फुर्ती का परीक्षण नहीं है, यह भौतिकी का परीक्षण है।"""
47,"[ट्रिसोलरान सैन्य अनुशासन के साथ तैयार होते हैं, शून्य गुरुत्वाकर्षण से पहले से परिचित, उनके स्थिरकार हल्के से चमकते हैं।]"
48,"कर्निवल मास्टर: ""आपकी पहली चुनौती में आपका स्वागत है। शून्य गुरुत्वाकर्षण बाधा कोर्स। नियम सरल हैं: फिनिश लाइन तक पहुंचें, या अयोग्य हो जाएं।"""
49,"[पृथ्वी की टीम के सदस्य चिंतित दिखते हैं। ओलिविया ध्यान केंद्रित रहती है जबकि मेगन असहज रूप से तैरती है, अपना संतुलन ठीक करती है।]"
50,"कैप्टन ट्रिसा (कठोरता से अपनी टीम से): ""योजना पर टिके रहो। हम यहां हारने का जोखिम नहीं उठा सकते।"""
51,"मेगन (मुस्कुराते हुए): ""क्या हमारे पास कोई योजना है?"""
52,"ओलिविया (अपने टैबलेट की ओर देखते हुए): ""तकनीकी रूप से हाँ... अगर मरना योजना में शामिल नहीं है।"""
53,"[प्रारंभिक रेखा डिजिटल काउंटडाउन के साथ चमक उठती है, जो 5 से टिक रही है।]"
54,"ओलिविया (ध्यान केंद्रित करते हुए, एक हैंड्रेल को पकड़ते हुए): ""बस भौतिकी का पालन करो।"""
55,[टीमें प्लेटफ़ॉर्म से लॉन्च होती हैं जब काउंटडाउन शून्य तक पहुंचता है]
56,"मेगन (तैरती हुई, जैसे ही वह अपना पांव चूकती है, नियंत्रण खोकर घूमने लगती है): ""मैं कोई अंतरिक्ष यात्री नहीं हूं!"""
57,"[मेगन संघर्ष करती है कि वह संतुलन बनाए, जबकि अन्य आगे बढ़ते हैं। वह एक तैरते प्लेटफ़ॉर्म को पकड़ती है, लेकिन जैसे-जैसे दौड़ तेज होती है, वह पीछे रह जाती है।]
मेगन (निराश होकर बुदबुदाते हुए): ""शानदार। जाहिर है, मैं इसे खराब कर दूंगी।"""
58,"[कैप्टन ट्रिसा और उनकी टीम बाधाओं के बीच आसानी से ग्लाइड करते हुए, दीवारों को शायद ही छूते हैं। अब उनके पास स्पष्ट बढ़त है।]"
59,"[संकल्पित, ओलिविया अपने शरीर को सावधानी से कोण देती है, घुमावदार लेज़र दीवारों को पार करने के लिए छोटे, सावधानीपूर्वक कदमों का उपयोग करती है। वह आगे बढ़ती है ताकि मेगन की गिरावट की भरपाई कर सके।]
ओलिविया (दांत पीसते हुए, ध्यान केंद्रित करते हुए): ""आओ..."""
60,"[ओलिविया खुद को आगे बढ़ाती है, ट्रिसोलरान टीम के करीब आने की कोशिश कर रही है। वह अंतिम तैरते पत्थरों और घुमावदार हुप्स को चकमा देती है, लेकिन ट्रिसा अपनी बढ़त बनाए रखती है, आखिरी बाधाओं को सहजता से पार करती है।]"
61,"[ट्रिसा चमकती फिनिश लाइन पार करती है, विजयी, ओलिविया से कुछ सेकंड पहले। फिनिश लाइन की चमक दौड़ समाप्त होने के साथ तीव्र हो जाती है। ओलिविया भारी थड के साथ उतरती है, थोड़ा निराश लेकिन फिर भी ध्यान केंद्रित।]"
62,"कर्निवल मास्टर: ""बधाई हो, कैप्टन ट्रिसा! ट्रिसोलारिस के लिए एक अच्छी तरह से कमाई गई जीत।""
[कर्निवल मास्टर की आवाज़ गूँजती हुई पूरे अखाड़े में गूंज रही है। ट्रिसा की टीम अपने प्रदर्शन से संतुष्ट होकर सिर हिलाती है।]"
63,"ओलिविया (सांस लेते हुए, ध्यान केंद्रित): ""अगली बार। हम तैयार रहेंगे।""
[वह कोर्स की ओर देखती है, पहले ही विश्लेषण कर रही है कि क्या गलत हुआ, उसका दिमाग अगले चुनौती के लिए रणनीतियाँ तैयार कर रहा है।]"
64,"मेगन: ""यह... पागलपन था। मैंने कभी ठोस ज़मीन के लिए इतना आभारी महसूस नहीं किया।"""
65,"ओलिविया: ""हम तुम्हारे बिना यह नहीं कर पाते।""
कैप्टन ट्रिसा: ""वैसे ही।"""
66,"ओलिविया: ""यह जगह... यहाँ भौतिकी के नियम स्थिर हैं।"""
67,"मेगन: ""कौन जानता था कि अंतरिक्षीय अस्तित्व खेल इतने थकाऊ होंगे?"""
68,"कैप्टन ट्रिसा: ""पहली बार, एक पल की राहत।"""
69,"ओलिविया: ""अंतिम पहेली को गिराने के लिए डिज़ाइन किया गया था। यह इसे सुलझाने के बारे में नहीं था—यह एक जाल था।"""
70,"कैप्टन ट्रिसा: ""हम बस बाहर निकलने में कामयाब रहे। कर्निवल मास्टर हमारे साथ खेल खेल रहा है।"""
71,"कर्निवल मास्टर (अपने मन में): ""तुम्हें जल्द ही पता चल जाएगा..."""
72,"मेगन: ""ठीक है, ट्रिसा, चलो देखते हैं कि तुम पहेलियों में उतनी ही कुशल हो जितनी अपने जहाज के साथ।"""
73,"ट्रिसा: ""यह सिर्फ एक खेल नहीं है, मेगन। सटीकता महत्वपूर्ण है।"""
74,"ट्रिसा: ""मैंने कर दिखाया!""
मेगन: ""ठीक समय पर। बहुत बढ़िया खेला।"""
75,"ट्रिसा: ""यह टॉवर मेरी कृति बनने जा रहा है!"""
76,"मेगन: ""कृति या आपदा? चलो देखते हैं कि यह कितने समय तक खड़ा रहता है!"""
77,"ओलिविया: ""सावधान रहो, तुम दोनों! याद रखो, यह स्थिरता के बारे में है!"""
78,"मेगन: ""ध्यान से... बस ऐसे ही!"""
79,"ट्रिसा: ""देखो! एक गलत चाल और यह आपदा बन जाएगी!"""
80,[टॉवर आखिरकार गिर जाता है]
81,[चेहरा सब कुछ कह देता है: प्रतिस्पर्धा का रोमांच]
82,"[एक विजय और भय के क्षण में, टॉवर ध्वस्त हो जाता है—रणनीति और कौशल को अंतिम परीक्षा में डाल दिया गया!]"
83,"मेगन: ""क्या तुम इसके लिए तैयार हो?""
ट्रिसा: ""चलो देखते हैं कि क्या तुम अपने आत्मविश्वास का समर्थन कर सकती हो।"""
84,"ओलिविया: ""पूल ज्यामिति और कोणों के बारे में है... जैसे एक पहेली को सुलझाना।"""
85,"ट्रिसा: ""बहुत सहज मत होओ, पृथ्वीवासी। मैंने यह पहले खेला है।"""
86,"मेगन: ""यह जीत के लिए है।"""
87,[गेंद पॉकेट में गिरने की आवाज़]
88,"कर्निवल मास्टर (अपने मन में सोचते हुए): ""वे सोचते हैं कि वे नियंत्रण में हैं... लेकिन मैं हूं जो डोरियां खींच रहा हूं।"""
89,"ट्रिसा: ""वह हमेशा से ही खेल नियंत्रित कर रहा था..."""
90,"मेगन: ""मुझे पता होना चाहिए था... हर जीत, हर हार—यह उसका खेल था।"""
91,"ओलिविया: ""ट्रिसा सही है। यह सिर्फ प्रतिस्पर्धा नहीं है। वह हमारे साथ खेल रहा है।"""
92,"ट्रिसा: ""फिर हम उसके नियमों से खेलना बंद करते हैं। हम एकजुट होते हैं, और हम शांति का चयन करते हैं।"""
93,"मेगन: ""एक साथ, हम उससे ज्यादा मजबूत हैं। अब कोई विभाजन नहीं।"""
94,"ओलिविया: ""हम उसके नियंत्रण को समाप्त करते हैं। अब समय आ गया है कि हम स्वतंत्र हों।"""
95,"कर्निवल मास्टर (सोचते हुए): ""उन्होंने आखिरकार इसे समझ लिया। लेकिन वे मेरा खेल नहीं तोड़ पाएंगे।"""
96,"मेगन: ""अब हम एक साथ हैं।"""
97,"टीम ट्रिसोलरान सदस्य: ""हम एक साथ लड़ते हैं, पृथ्वी और ट्रिसोलारिस, अपने भविष्य के लिए।"""
98,"ट्रिसा: ""यह कुछ नए की शुरुआत है।"""
99,"कर्निवल मास्टर (बुदबुदाते हुए): ""वे खेल को बदल रहे हैं..."""
100,"""एकजुट होकर, उन्होंने प्रतिद्वंद्विता पर शांति को चुना। एक साथ, वे अजेय थे।"""